ZIP_CODE,avg (Response Time),stddev (Response Time),avg (Handling Time),stddev (Handling Time),Incident Count,Number of Stations,Longitude,Latitude
10023,337.234565330557,207.62660213193402,1109.6972063161547,1466.6042958196308,28815,1,-73.984225,40.774562
10024,336.6208084447394,278.9556586559923,1189.1413672134256,2248.6268327479315,31641,2,-73.9772215,40.783463499999996
10025,333.28653752555243,194.95177522754187,1229.0907427236446,1706.4303652896565,51365,2,-73.96509649999999,40.8006975
10026,336.7560118739617,203.49737753951644,1341.3493014515645,1506.7167425319687,36719,,,
10027,322.6384311090068,208.48413619188696,1356.0670963603318,2685.773238229947,65473,1,-73.9546,40.811921
10028,335.6503048205644,218.29498956662866,1143.0847841116208,1363.3132788655003,15911,1,-73.955311,40.778622
10029,349.62575367110765,222.2869559661127,1207.6800179908587,1872.5915033207318,82264,3,-73.94503633333333,40.793893
10030,321.7891609712539,205.3040158620472,1320.156849950201,1712.9000126432281,29117,2,-73.9421355,40.8170895
10031,335.0336727104865,199.9984057427566,1384.1433847100761,2102.545220761774,38993,1,-73.950762,40.821948
10032,342.3784644415615,225.3846346499759,1205.7528482132327,1603.611410647985,42395,2,-73.939077,40.8385985
10033,363.7671383091617,555.2657554258051,1529.1982313406438,2775.814761556338,28270,1,-73.931662,40.848722
10034,349.16381141798126,208.90876325681586,1201.8888487094878,3001.4395027813403,22123,1,-73.925154,40.864897
10035,354.564958394609,251.572030191611,1339.5246374653289,2714.3864296098695,53719,1,-73.936522,40.803297
10036,378.98601361127487,315.5335929263759,1067.8724344890413,1407.4139010803553,37322,3,-73.98846266666666,40.75880733333333
10037,344.1903892944039,245.27015736359596,1264.7610097323602,2827.4309969405867,16440,,,
10038,341.37322751940246,185.71602087140778,1167.095582657408,3107.6169264328014,17137,1,-74.005395,40.709971
10039,378.53755912961213,320.7497661182339,1434.6972942289499,2153.8325168192023,26425,,,
10040,372.64892388884306,261.2853092834641,1446.5178527253236,3410.601038589878,24254,,,
10065,,,,,,1,-73.963612,40.767062
10128,380.23844564286077,265.439753897711,1213.3968045965426,3184.9993594513476,19841,,,
10280,332.2304900181488,148.1288910589382,1161.8275862068965,1182.5987310707967,2204,,,
10301,316.6749984319137,195.18027380365163,934.4312550962806,3920.144352081646,31886,1,-74.087694,40.637547
10302,264.71767631103074,160.4703008005303,891.0252411091019,4168.682254197214,13272,1,-74.135394,40.636191
10303,312.05703005044967,159.85551275099095,940.3604957227462,3533.928297791963,18236,1,-74.160052,40.635265
10304,282.86668030152515,449.32898018842724,944.706305148133,3199.0783642012184,34226,4,-74.084993,40.61325525
10305,282.4381708081019,163.19289740603665,3870.7019001879307,458880.44130362954,23945,2,-74.070177,40.604239500000006
10306,376.5711023769418,206.44368801187872,1054.0460415496912,3100.7175955773478,26715,1,-74.123714,40.576077
10307,298.25975076873283,189.08809812888987,986.2715649781518,2062.324989418556,6179,1,-74.23895,40.512739
